,price,property_type,bedrooms,bathrooms_text,beds,neighbourhood_cleansed
3546,108.0,Entire rental unit,1.0,1.0,1.0,University Park
3547,106.0,Entire rental unit,1.0,1.0,1.0,University Park
3548,119.0,Entire rental unit,1.0,1.0,1.0,Berkeley
3549,67.0,Entire condominium (condo),1.0,1.0,1.0,Union Station
3550,344.0,Entire townhouse,3.0,3.0,3.0,Speer
3552,112.0,Entire rental unit,2.0,2.0,3.0,Goldsmith
3554,80.0,Private room in townhouse,1.0,1.5,1.0,Chaffee Park
3571,350.0,Entire residential home,4.0,3.5,5.0,Hale
3573,70.0,Entire condominium (condo),1.0,1.0,1.0,Overland
3575,254.0,Entire rental unit,1.0,1.0,1.0,Union Station
3577,294.0,Entire rental unit,2.0,2.0,2.0,Union Station
3579,120.0,Entire residential home,3.0,2.0,0.0,West Colfax
3580,254.0,Entire rental unit,1.0,1.0,1.0,Union Station
3581,120.0,Entire condominium (condo),2.0,2.0,1.0,Union Station
3583,95.0,Entire residential home,1.0,1.0,2.0,Marston
3584,150.0,Entire guest suite,1.0,1.0,2.0,Speer
3586,131.0,Entire residential home,1.0,1.0,2.0,Sloan Lake
3592,298.0,Entire residential home,3.0,2.0,4.0,Hale
3593,90.0,Entire rental unit,1.0,1.5,1.0,Northeast Park Hill
3594,254.0,Entire residential home,3.0,2.0,3.0,Whittier
3595,165.0,Entire guest suite,1.0,1.0,1.0,Five Points
3596,199.0,Entire residential home,2.0,2.0,2.0,Skyland
3598,119.0,Entire condominium (condo),2.0,2.0,2.0,Northeast Park Hill
3599,133.0,Entire residential home,3.0,1.0,3.0,Ruby Hill
3602,99.0,Entire condominium (condo),1.0,1.0,1.0,Highland
3603,149.0,Entire condominium (condo),1.0,1.0,1.0,Highland
3605,198.0,Entire residential home,2.0,1.0,2.0,University Hills
3606,84.0,Entire condominium (condo),2.0,1.0,1.0,Harvey Park
3607,68.0,Entire condominium (condo),1.0,1.0,1.0,Cherry Creek
3612,125.0,Entire condominium (condo),1.0,1.0,3.0,Highland
3613,99.0,Entire condominium (condo),1.0,1.0,1.0,Highland
3614,115.0,Entire rental unit,1.0,1.0,1.0,Capitol Hill
3615,228.0,Entire rental unit,1.0,1.0,1.0,Union Station
3616,254.0,Entire rental unit,1.0,1.0,1.0,Union Station
3617,254.0,Entire rental unit,1.0,1.0,1.0,Union Station
3619,422.0,Entire townhouse,3.0,3.5,3.0,Sloan Lake
3621,109.0,Entire guest suite,2.0,1.0,2.0,Fort Logan
3623,180.0,Entire residential home,2.0,2.0,2.0,Sunnyside
3624,196.0,Entire townhouse,3.0,5.0,2.0,Jefferson Park
3625,268.0,Entire residential home,3.0,2.0,2.0,Washington Park West
3626,150.0,Entire bungalow,2.0,1.0,2.0,West Highland
3627,115.0,Entire residential home,1.0,1.0,2.0,North Park Hill
3628,161.0,Entire rental unit,2.0,2.0,2.0,University Park
3629,169.0,Entire loft,1.0,2.0,2.0,Civic Center
3630,100.0,Entire townhouse,1.0,1.5,1.0,Lincoln Park
3631,149.0,Entire condominium (condo),1.0,1.0,1.0,Highland
3632,65.0,Private room in residential home,1.0,1.0,1.0,Fort Logan
3633,112.0,Entire condominium (condo),1.0,1.0,1.0,Union Station
3634,70.0,Entire rental unit,1.0,1.0,2.0,Northeast Park Hill
3638,165.0,Entire townhouse,2.0,1.0,3.0,Cole
3639,150.0,Entire guest suite,2.0,1.0,2.0,Sunnyside
3640,227.0,Entire residential home,2.0,2.0,2.0,West Highland
3641,110.0,Entire rental unit,2.0,2.0,2.0,Gateway - Green Valley Ranch
3642,168.0,Entire rental unit,1.0,1.0,1.0,Five Points
3643,127.0,Entire rental unit,1.0,1.0,1.0,Five Points
3644,130.0,Entire rental unit,1.0,1.0,1.0,Union Station
3646,170.0,Entire residential home,2.0,1.0,3.0,Cole
3651,94.0,Entire guest suite,1.0,1.0,1.0,Westwood
3653,151.0,Entire residential home,2.0,2.0,3.0,Lincoln Park
3654,149.0,Entire residential home,2.0,1.0,2.0,Baker
3665,149.0,Entire condominium (condo),1.0,1.0,1.0,Highland
3666,149.0,Entire condominium (condo),1.0,1.5,1.0,Highland
